3055,Praia de Itacoatiara  RJ,imagens/destinos/55.bmp,4,23000,0,47,134,48,1,0,1,0,1,555.31,228,4,0,1,0,79,2,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0
4880,Cachoeira da Brava do Cepilho  RJ,imagens/destinos/80.bmp,0,0,0,67,26,20,1,0,0,1,4,115.54,0,0,0,0,0,85,2,1,1,1,0,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
1286,Quinta Praia  BA,imagens/destinos/86.bmp,0,0,0,56,56,27,1,0,0,2,1,146.29,0,0,0,0,0,81,2,0,1,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1
712,Praia do Costão  SP,imagens/destinos/12.bmp,5,7500,0,37,98,27,1,1,1,4,2,863.41,20,20,1,0,1,57,1,0,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
3063,Praia de Massambaba  RJ,imagens/destinos/63.bmp,2,23000,0,66,45,27,2,0,0,6,1,346.12,78,4,0,0,0,69,2,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
1777,Guarda do Embaú  SC,imagens/destinos/77.bmp,1,23000,0,74,52,0.5,2,0,1,4,1,268.38,13,4,0,1,1,3,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1
3560,Porto  PE,imagens/destinos/60.bmp,0,0,1,43,150,37,2,0,0,3,2,206.1,0,0,0,1,1,23,2,1,1,0,0,0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1
3748,Guaruja  SP,imagens/destinos/48.bmp,3,50000,0,57,13,22,2,1,0,1,2,505.87,111,15,0,1,1,41,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0
44,Redondas  CE,imagens/destinos/44.bmp,3,23000,0,41,57,38,2,1,0,1,1,438.34,87,3,0,1,0,30,2,0,1,1,1,0,0,-1,1,-1,-1,-1,-1,-1,-1,-1,0
760,São Conrado  RJ,imagens/destinos/60.bmp,2,7500,1,31,42,34,2,0,1,2,3,353.16,60,18,1,1,0,92,2,0,1,0,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
3817,Praia da Enseada  SC,imagens/destinos/17.bmp,3,9600,1,43,88,41,3,0,0,3,1,649.72,0,6,1,0,1,87,1,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0
5532,Rio Doce  PE,imagens/destinos/32.bmp,1,50000,0,67,15,33,3,1,0,3,5,381.95,20,3,1,0,1,108,1,0,0,1,0,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0
1799,Jardim a beira-mar  SP,imagens/destinos/99.bmp,3,7500,1,41,124,34,3,1,0,0,1,493.5,78,12,0,0,1,75,1,0,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0
3368,imbituba  SC,imagens/destinos/68.bmp,0,0,0,35,70,34,3,0,0,5,5,185.29,0,0,1,0,1,12,1,0,0,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,1
995,Ilha de Toque-Toque Grande  SP,imagens/destinos/95.bmp,2,9600,1,81,37,33,3,0,0,3,3,362.77,38,16,0,0,0,14,1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1
5337,Ilhas de Bombinhas  SC,imagens/destinos/37.bmp,1,19200,1,47,107,18,3,0,1,0,1,212.29,21,16,1,1,1,6,1,0,0,1,0,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
1174,Vila do Abraão  RJ,imagens/destinos/74.bmp,2,30000,1,65,62,46,3,1,0,3,2,524.06,48,4,0,1,1,49,2,0,0,0,0,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,0
5625,Segunda Praia  BA,imagens/destinos/25.bmp,1,19200,1,59,19,47,3,1,1,1,4,269.13,1,4,1,1,0,24,2,0,0,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,0
1296,Terceira Praia  BA,imagens/destinos/96.bmp,0,0,0,30,17,27,3,0,0,1,5,184.72,0,0,0,1,1,78,1,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
1924,Praias de Santos  SP,imagens/destinos/24.bmp,5,50000,1,46,144,40,5,1,1,1,1,689.74,55,0,1,1,0,50,1,1,1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0
3582,Morro Branco  CE,imagens/destinos/82.bmp,0,0,0,43,95,30,5,1,0,0,5,153.15,0,0,1,0,0,75,1,1,0,1,1,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1
1345,Castelhanos  SP,imagens/destinos/45.bmp,1,50000,0,65,77,26,5,1,1,0,4,315.69,42,0,0,0,1,25,1,1,0,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1
3918,Sete Fontes  SP,imagens/destinos/18.bmp,1,7500,0,4,77,61,5,1,1,1,1,292.36,17,0,1,1,0,3,1,1,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0
586,Galheta  SC,imagens/destinos/86.bmp,1,9600,0,70,134,43,5,1,0,2,2,190.49,16,1,1,0,1,117,1,0,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
5103,Tenorio  SP,imagens/destinos/03.bmp,0,0,1,63,114,31,5,1,0,2,5,225.24,0,0,0,0,0,35,2,1,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
4889,Canasvieras  SC,imagens/destinos/89.bmp,6,12000,1,43,28,0.5,5,1,1,4,2,1023.87,102,18,0,1,0,56,2,0,1,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
3969,Icaraí  CE,imagens/destinos/69.bmp,2,9600,1,73,34,25,5,0,1,0,4,463.64,60,10,1,1,0,14,2,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0
136,Barra da Guaratiba  RJ,imagens/destinos/36.bmp,1,12000,0,62,32,30,5,1,0,3,2,219.33,24,4,0,1,0,3,1,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1
5780,Porto Belo  SC,imagens/destinos/80.bmp,1,23000,1,19,25,39,5,1,0,1,6,414.17,26,8,1,1,1,68,2,1,1,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
2190,Itamambuca  SP,imagens/destinos/90.bmp,2,12000,0,40,148,20,5,0,0,2,5,338.21,74,24,0,0,0,65,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0
1727,Cachoeira da Brava  SP,imagens/destinos/27.bmp,1,19200,1,51,9,55,5,0,1,2,1,354.33,18,1,0,1,1,16,2,0,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
3680,Barequecaba  SP,imagens/destinos/80.bmp,4,12000,0,48,59,23,5,1,1,0,2,731.43,104,8,0,0,0,87,1,0,0,0,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0
5118,Ponta D'Areia  MA,imagens/destinos/18.bmp,5,7500,0,49,82,28,5,0,1,3,3,950.11,45,5,1,1,0,45,1,0,1,0,0,1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1
1479,Praia de Itacoatiara  RJ,imagens/destinos/79.bmp,5,15000,1,63,74,35,5,1,1,3,4,922.14,145,15,0,0,1,17,1,0,1,1,0,0,1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
652,Picinguaba  SP,imagens/destinos/52.bmp,1,23000,0,45,110,12,6,0,1,0,3,287.73,23,3,0,0,0,26,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,0
157,Caieira da Barra do Sul  SC,imagens/destinos/57.bmp,3,7500,0,45,81,35,6,1,1,3,3,550.92,39,15,1,1,1,33,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1
